description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,unit,brand,CLASIFICACION
Mayonesa B&D Doypack 95g,S/ 3.49,vivanda,MAYONESA,2024-12-04 18:13:11.183333,95.0,g,3.49,vivanda,,B&D,MAYONESA
Mayonesa ALACENA Doypack 95g,S/ 3.50,vega,MAYONESA,2024-12-04 14:38:10.621311,95.0,g,3.5,vega,,Alacena,MAYONESA
Mayonesa 95 g,S/ 3.95,tottus,MAYONESA,2024-12-04 13:54:51.527561,95.0,g,3.95,tottus,,TOTTUS,MAYONESA
Mayonesa Premiun WALIBI Doypack 100g,S/ 4 un,plaza_vea,MAYONESA,2024-12-04 14:32:23.908850,100.0,g,4.0,plaza_vea,Doypack 100g,,MAYONESA
Mayonesa Light 100 g,S/ 4.40,tottus,MAYONESA,2024-12-04 13:54:51.527561,100.0,g,4.4,tottus,,TOTTUS,MAYONESA
Papas Ondas LAYS Mayonesa Bolsa 105gr,S/ 5.00,vega,MAYONESA,2024-12-04 14:38:10.621311,105.0,g,5.0,vega,,Lays,MAYONESA
Papas Ondas LAY'S con Mayonesa Bolsa 140g,S/ 5.50 un,plaza_vea,MAYONESA,2024-12-04 14:32:23.908850,140.0,g,5.5,plaza_vea,Bolsa 140g,,MAYONESA
Papas Fritas Lay's Ondas Sabor a Mayonesa 140g,S/ 5.50,metro,MAYONESA,2024-12-04 22:10:41.685850,140.0,g,5.5,metro,,,MAYONESA
Mayonesa BELL'S Doypack 190g,S/ 5.60,vivanda,MAYONESA,2024-12-04 18:13:11.183333,190.0,g,5.6,vivanda,,BELL'S,MAYONESA
Mayonesa Light BELL'S Doypack 475g,S/ 5.90,vivanda,MAYONESA,2024-12-04 18:13:11.183333,475.0,g,5.9,vivanda,,BELL'S,MAYONESA
Mayonesa B&D Doypack 190g,S/ 5.90,metro,MAYONESA,2024-12-04 22:10:41.685850,190.0,g,5.9,metro,,,MAYONESA
Mayonesa Doypack B&D 190 g,S/ 6.80,tottus,MAYONESA,2024-12-04 13:54:51.527561,190.0,g,6.8,tottus,,,MAYONESA
Mayonesa B&D Doypack 190g,S/ 6.90,vivanda,MAYONESA,2024-12-04 18:13:11.183333,190.0,g,6.9,vivanda,,B&D,MAYONESA
Mayonesa KRAFT Mayodeli Doypack 170g,S/ 7 un,plaza_vea,MAYONESA,2024-12-04 14:32:23.908850,170.0,g,7.0,plaza_vea,Doypack 170g,,MAYONESA
Mayonesa ALACENA Doypack 190g,S/ 7.00,vega,MAYONESA,2024-12-04 14:38:10.621311,190.0,g,7.0,vega,,Alacena,MAYONESA
Mayonesa 190 g,S/ 7.20,tottus,MAYONESA,2024-12-04 13:54:51.527561,190.0,g,7.2,tottus,,TOTTUS,MAYONESA
